Балкон или лоджия,В доме,Вид сделки,Высота потолков,Год постройки,Грузовой лифт,Двор,Дополнительно,Жилая площадь,Количество комнат,"Корпус, строение",Мебель,Название новостройки,Общая площадь,Окна,Отделка,Парковка,Пассажирский лифт,Площадь кухни,Ремонт,Санузел,Способ продажи,Срок сдачи,Техника,Тип дома,Тип участия,Тёплый пол,Этаж,Этажей в доме
,,возможна ипотека,,,,,,16.5 м²,1,Корпус В2,,Luzhniki Collection (Коллекция Лужники),74.9 м²,,без отделки,,,,,,договор долевого участия,Сдача в 4 кв. 2027,,монолитный,ДДУ по ФЗ 214,,3 из 18,18
,,возможна ипотека,2.6 м,,,"детская площадка, спортивная площадка",,,1,,"кухня, хранение одежды, спальные места",,32.8 м²,во двор,,открытая во дворе,1,6 м²,косметический,совмещенный,свободная,,,панельный,,,2 из 9,9
,,,3.3 м,,,"детская площадка, спортивная площадка",,22.5 м²,1,,,МИRA,36.5 м²,,без отделки,,,,,,,Сдача в 2 кв. 2027,,монолитно-кирпичный,ДДУ по ФЗ 214,,16 из 24,24
,,возможна ипотека,3.1 м,,4,"закрытая территория, детская площадка, спортивная площадка",,12.9 м²,1,Корпус 4,,ЖК «AMBER CITY»,43.6 м²,,предчистовая,"подземная, открытая во дворе",,,,,договор долевого участия,Сдача в 3 кв. 2027,,монолитно-кирпичный,ДДУ по ФЗ 214,,2 из 46,46
лоджия,консьерж,возможна ипотека,3 м,2000,2,детская площадка,,18 м²,1,,"кухня, хранение одежды, спальные места",,35 м²,во двор,,"подземная, за шлагбаумом во дворе",1,12 м²,косметический,совмещенный,свободная,,"кондиционер, холодильник, стиральная машина",монолитный,,,3 из 24,24
,,возможна ипотека,,,,,,,1,Копрус 1 (3 этап),,ЖК «Dream Riva»,42.8 м²,,без отделки,,,,,,,Сдача в 3 кв. 2027,,монолитный,ДДУ по ФЗ 214,,16 из 24,24
,,возможна ипотека,3 м,,1,"закрытая территория, детская площадка, спортивная площадка",,29.8 м²,1,Корпус 1.4 (2 секция),,ЖК «Адмирал»,47 м²,на улицу,без отделки,,1,5.5 м²,,совмещенный,договор долевого участия,Сдача в 3 кв. 2028,,монолитный,ДДУ по ФЗ 214,,15 из 21,21
балкон,мусоропровод,,2.9 м,2016,1,"детская площадка, спортивная площадка",гардеробная,25 м²,1,,"кухня, хранение одежды, спальные места",,43 м²,"на улицу, на солнечную сторону",,открытая во дворе,2,15 м²,евро,совмещенный,свободная,,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",монолитный,,есть,8 из 22,22
,,возможна ипотека,3.8 м,,,"закрытая территория, детская площадка, спортивная площадка",,,1,Корпус 8.1,,ЖК «Мангазея на Речном»,48.6 м²,,без отделки,подземная,,,,,договор долевого участия,Сдача в 3 кв. 2027,,монолитно-кирпичный,ДДУ по ФЗ 214,,2 из 12,12
,консьерж,,3 м,2024,1,"детская площадка, спортивная площадка",,,1,,,,47 м²,на улицу,,подземная,2,20 м²,косметический,совмещенный,свободная,,,монолитный,,,15 из 35,35
